"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Mahmutlar,"2+1",91000.0,120.0,100.0,164145.71,-73145.70999999999
Cikcilli,"2+1",123000.0,115.0,1500.0,195942.31,-72942.31
Konaklı,"1+1",80500.0,58.0,300.0,153062.5,-72562.5
Alanya(Center),"2+1",131500.0,100.0,800.0,203551.52,-72051.51999999999
Alanya(Center),"1+1",96500.0,45.0,500.0,168298.97,-71798.97
Alanya(Center),"1+1",96500.0,50.0,2000.0,168298.97,-71798.97
Kargıcak,"1+1",77500.0,50.0,200.0,149085.94,-71585.94
Kestel,"1+1",75000.0,75.0,150.0,145889.58,-70889.57999999999
Mahmutlar,"2+1",93500.0,70.0,1800.0,164145.71,-70645.70999999999
Kargıcak,"3+1",283500.0,200.0,2000.0,353267.86,-69767.85999999999
Kargıcak,"3+1",283500.0,180.0,700.0,353267.86,-69767.85999999999
Oba,"2+1",116500.0,90.0,2000.0,186147.54,-69647.54000000001
Mahmutlar,"2+1",94500.0,125.0,350.0,164145.71,-69645.70999999999
Mahmutlar,"2+1",94500.0,120.0,650.0,164145.71,-69645.70999999999
Alanya(Center),"2+1",134000.0,106.0,800.0,203551.52,-69551.51999999999
Alanya(Center),"1+1",99500.0,55.0,600.0,168298.97,-68798.97
Kestel,"2+1",142000.0,115.0,200.0,210711.54,-68711.54000000001
Türkler,"2+1",178500.0,129.0,300.0,246250.0,-67750.0
Oba,"3+2",236500.0,190.0,300.0,304166.67,-67666.66999999998
Mahmutlar,"2+1",96500.0,90.0,300.0,164145.71,-67645.70999999999
Oba,"3+1",210000.0,137.0,3500.0,277600.0,-67600.0
Oba,"3+1",210000.0,154.0,2500.0,277600.0,-67600.0
Cikcilli,"3+1",247000.0,200.0,1500.0,313875.0,-66875.0
Alanya(Center),"1+1",102000.0,46.0,150.0,168298.97,-66298.97
Alanya(Center),"1+1",102000.0,50.0,100.0,168298.97,-66298.97
Oba,"2+1",120000.0,100.0,4000.0,186147.54,-66147.54000000001
Oba,"2+1",120000.0,102.0,2000.0,186147.54,-66147.54000000001
Oba,"1+1",66500.0,44.0,4000.0,132396.36,-65896.35999999999
Kargıcak,"1+1",83500.0,50.0,150.0,149085.94,-65585.94
Kestel,"1+1",80500.0,56.0,130.0,145889.58,-65389.57999999999
Tosmur,"1+1",105000.0,75.0,600.0,170152.75,-65152.75
Tosmur,"1+1",105000.0,55.0,500.0,170152.75,-65152.75
Cikcilli,"2+1",131500.0,100.0,1000.0,195942.31,-64442.31
Mahmutlar,"2+1",100000.0,85.0,850.0,164145.71,-64145.70999999999
Mahmutlar,"2+1",100000.0,110.0,50.0,164145.71,-64145.70999999999
Mahmutlar,"2+1",100000.0,110.0,350.0,164145.71,-64145.70999999999
Mahmutlar,"2+1",100000.0,75.0,200.0,164145.71,-64145.70999999999
Kargıcak,"1+1",85000.0,50.0,250.0,149085.94,-64085.94
Tosmur,"2+1",102000.0,100.0,600.0,165903.23,-63903.23000000001
Kestel,"2+1",147000.0,110.0,200.0,210711.54,-63711.54000000001
Alanya(Center),"2+1",140000.0,100.0,550.0,203551.52,-63551.51999999999
Alanya(Center),"2+1",140000.0,115.0,600.0,203551.52,-63551.51999999999
Mahmutlar,"2+1",101000.0,120.0,700.0,164145.71,-63145.70999999999
Kargıcak,"1+1",86000.0,50.0,250.0,149085.94,-63085.94
